,datetime,RH,GHI,CC,T
0,2022-01-01 07:00:00,72.0,0.0,0.0,-8.2
1,2022-01-01 08:00:00,75.0,0.01,0.0,-8.0
2,2022-01-01 09:00:00,62.0,0.36,0.0,-5.2
3,2022-01-01 10:00:00,47.0,0.87,5.0,0.2
4,2022-01-01 11:00:00,43.0,0.84,7.0,1.3
5,2022-01-01 12:00:00,38.0,1.5,7.0,5.3
6,2022-01-01 13:00:00,35.0,1.67,3.0,8.8
7,2022-01-01 14:00:00,31.0,1.79,5.0,9.3
8,2022-01-01 15:00:00,31.0,1.03,5.0,5.2
9,2022-01-01 16:00:00,34.0,0.51,4.0,1.2
10,2022-01-01 17:00:00,41.0,0.27,3.0,-0.4
11,2022-01-01 18:00:00,43.0,0.01,6.0,-1.5
12,2022-01-01 19:00:00,44.0,0.0,8.0,-1.4
13,2022-01-01 20:00:00,47.0,0.0,9.0,-2.4
14,2022-01-02 07:00:00,51.0,0.0,8.0,-1.6
15,2022-01-02 08:00:00,47.0,0.0,9.0,-1.3
16,2022-01-02 09:00:00,47.0,0.13,2.0,-0.9
17,2022-01-02 10:00:00,41.0,0.74,4.0,3.2
18,2022-01-02 11:00:00,64.0,0.38,9.0,3.1
19,2022-01-02 12:00:00,56.0,0.56,9.0,3.6
20,2022-01-02 13:00:00,62.0,1.04,4.0,8.5
21,2022-01-02 14:00:00,56.0,1.65,4.0,10.4
22,2022-01-02 15:00:00,55.0,1.23,2.0,6.0
23,2022-01-02 16:00:00,60.0,0.75,3.0,5.0
24,2022-01-02 17:00:00,62.0,0.33,0.0,1.2
25,2022-01-02 18:00:00,61.0,0.03,0.0,-0.3
26,2022-01-02 19:00:00,62.0,0.0,0.0,-1.6
27,2022-01-02 20:00:00,63.0,0.0,0.0,-2.5
28,2022-01-03 07:00:00,85.0,0.0,1.0,-7.3
29,2022-01-03 08:00:00,82.0,0.01,0.0,-7.1
30,2022-01-03 09:00:00,71.0,0.5,0.0,-4.3
31,2022-01-03 10:00:00,58.0,1.23,3.0,3.7
32,2022-01-03 11:00:00,61.0,1.64,1.0,4.7
33,2022-01-03 12:00:00,48.0,1.75,0.0,8.5
34,2022-01-03 13:00:00,48.0,1.77,1.0,10.8
35,2022-01-03 14:00:00,45.0,1.7,0.0,9.4
36,2022-01-03 15:00:00,46.0,1.38,0.0,8.0
37,2022-01-03 16:00:00,47.0,0.91,0.0,4.5
38,2022-01-03 17:00:00,52.0,0.38,0.0,0.2
39,2022-01-03 18:00:00,62.0,0.03,0.0,-0.5
40,2022-01-03 19:00:00,65.0,0.0,0.0,-1.5
41,2022-01-03 20:00:00,69.0,0.0,0.0,-2.4
42,2022-01-04 07:00:00,81.0,0.0,4.0,-3.4
43,2022-01-04 08:00:00,81.0,0.01,1.0,-3.7
44,2022-01-04 09:00:00,70.0,0.28,0.0,-1.6
45,2022-01-04 10:00:00,55.0,0.88,0.0,4.0
46,2022-01-04 11:00:00,42.0,1.44,0.0,5.6
47,2022-01-04 12:00:00,38.0,1.75,0.0,9.0
48,2022-01-04 13:00:00,33.0,1.88,0.0,13.1
49,2022-01-04 14:00:00,36.0,1.78,0.0,13.4
50,2022-01-04 15:00:00,33.0,1.49,0.0,10.2
51,2022-01-04 16:00:00,43.0,0.99,0.0,5.4
52,2022-01-04 17:00:00,47.0,0.43,0.0,0.8
53,2022-01-04 18:00:00,50.0,0.02,0.0,-0.4
54,2022-01-04 19:00:00,52.0,0.0,0.0,-1.7
55,2022-01-04 20:00:00,50.0,0.0,0.0,-2.5
56,2022-01-05 07:00:00,61.0,0.0,9.0,-2.7
57,2022-01-05 08:00:00,60.0,0.01,9.0,-2.4
58,2022-01-05 09:00:00,57.0,0.15,9.0,-0.8
59,2022-01-05 10:00:00,58.0,0.47,10.0,1.2
60,2022-01-05 11:00:00,47.0,0.98,10.0,4.0
61,2022-01-05 12:00:00,48.0,1.01,10.0,4.7
62,2022-01-05 13:00:00,43.0,0.89,10.0,5.8
63,2022-01-05 14:00:00,37.0,1.05,10.0,7.5
64,2022-01-05 15:00:00,39.0,0.63,10.0,5.7
65,2022-01-05 16:00:00,37.0,0.3,10.0,4.0
66,2022-01-05 17:00:00,42.0,0.11,10.0,1.8
67,2022-01-05 18:00:00,43.0,0.01,10.0,1.1
68,2022-01-05 19:00:00,43.0,0.0,10.0,0.8
69,2022-01-05 20:00:00,42.0,0.0,9.0,0.5
70,2022-01-06 07:00:00,75.0,0.0,0.0,-5.4
71,2022-01-06 08:00:00,76.0,0.0,0.0,-5.6
72,2022-01-06 09:00:00,65.0,0.33,0.0,-3.3
73,2022-01-06 10:00:00,57.0,0.89,0.0,2.0
74,2022-01-06 11:00:00,47.0,1.41,0.0,5.7
75,2022-01-06 12:00:00,38.0,1.74,0.0,9.4
76,2022-01-06 13:00:00,34.0,1.87,0.0,11.9
77,2022-01-06 14:00:00,32.0,1.83,0.0,13.0
78,2022-01-06 15:00:00,32.0,1.52,0.0,9.9
79,2022-01-06 16:00:00,32.0,1.02,0.0,5.3
80,2022-01-06 17:00:00,36.0,0.45,0.0,0.7
81,2022-01-06 18:00:00,52.0,0.04,0.0,-0.4
82,2022-01-06 19:00:00,56.0,0.0,0.0,-1.3
83,2022-01-06 20:00:00,60.0,0.0,0.0,-2.3
84,2022-01-07 07:00:00,79.0,0.0,0.0,-7.1
85,2022-01-07 08:00:00,81.0,0.01,0.0,-7.0
86,2022-01-07 09:00:00,71.0,0.42,0.0,-4.6
87,2022-01-07 10:00:00,61.0,1.09,0.0,1.9
88,2022-01-07 11:00:00,51.0,1.57,0.0,4.5
89,2022-01-07 12:00:00,44.0,1.78,0.0,9.5
90,2022-01-07 13:00:00,38.0,1.92,0.0,12.3
91,2022-01-07 14:00:00,38.0,1.85,0.0,11.6
92,2022-01-07 15:00:00,34.0,1.54,0.0,8.6
93,2022-01-07 16:00:00,34.0,1.06,0.0,4.3
94,2022-01-07 17:00:00,33.0,0.49,0.0,0.1
95,2022-01-07 18:00:00,45.0,0.05,0.0,-1.4
96,2022-01-07 19:00:00,55.0,0.0,0.0,-2.4
97,2022-01-07 20:00:00,59.0,0.0,0.0,-3.2
98,2022-01-08 07:00:00,77.0,0.0,0.0,-6.7
99,2022-01-08 08:00:00,80.0,0.0,0.0,-6.5
100,2022-01-08 09:00:00,70.0,0.33,0.0,-3.8
101,2022-01-08 10:00:00,62.0,0.9,0.0,2.8
102,2022-01-08 11:00:00,48.0,1.42,0.0,4.6
103,2022-01-08 12:00:00,44.0,1.75,0.0,10.8
104,2022-01-08 13:00:00,42.0,1.87,0.0,13.1
105,2022-01-08 14:00:00,48.0,1.75,0.0,10.9
106,2022-01-08 15:00:00,48.0,1.25,1.0,9.6
107,2022-01-08 16:00:00,50.0,0.98,3.0,6.2
108,2022-01-08 17:00:00,55.0,0.32,7.0,3.2
109,2022-01-08 18:00:00,56.0,0.02,8.0,1.9
110,2022-01-08 19:00:00,57.0,0.0,0.0,1.0
111,2022-01-08 20:00:00,58.0,0.0,0.0,0.5
112,2022-01-09 07:00:00,68.0,0.0,8.0,0.3
113,2022-01-09 08:00:00,69.0,0.0,9.0,0.2
114,2022-01-09 09:00:00,67.0,0.1,9.0,2.3
115,2022-01-09 10:00:00,65.0,0.38,9.0,5.9
116,2022-01-09 11:00:00,66.0,0.69,8.0,8.8
117,2022-01-09 12:00:00,63.0,0.98,8.0,11.3
118,2022-01-09 13:00:00,56.0,1.14,9.0,13.0
119,2022-01-09 14:00:00,60.0,0.9,8.0,10.0
120,2022-01-09 15:00:00,58.0,1.08,7.0,11.6
121,2022-01-09 16:00:00,58.0,0.87,4.0,7.3
122,2022-01-09 17:00:00,62.0,0.39,0.0,3.0
123,2022-01-09 18:00:00,67.0,0.04,0.0,-0.5
124,2022-01-09 19:00:00,71.0,0.0,0.0,-0.8
125,2022-01-09 20:00:00,74.0,0.0,0.0,-1.6
126,2022-01-10 07:00:00,89.0,0.0,5.0,-4.7
127,2022-01-10 08:00:00,87.0,0.01,5.0,-4.4
128,2022-01-10 09:00:00,83.0,0.24,3.0,-1.5
129,2022-01-10 10:00:00,80.0,0.91,6.0,3.1
130,2022-01-10 11:00:00,74.0,1.31,3.0,5.8
131,2022-01-10 12:00:00,66.0,1.64,2.0,11.3
132,2022-01-10 13:00:00,48.0,1.82,3.0,13.9
133,2022-01-10 14:00:00,38.0,1.74,5.0,15.8
134,2022-01-10 15:00:00,37.0,1.46,4.0,11.6
135,2022-01-10 16:00:00,39.0,0.94,3.0,7.8
136,2022-01-10 17:00:00,37.0,0.35,8.0,3.7
137,2022-01-10 18:00:00,59.0,0.03,8.0,1.2
138,2022-01-10 19:00:00,63.0,0.0,9.0,1.2
139,2022-01-10 20:00:00,67.0,0.0,10.0,0.9
140,2022-01-11 07:00:00,54.0,0.0,9.0,-1.7
141,2022-01-11 08:00:00,58.0,0.01,3.0,-3.3
142,2022-01-11 09:00:00,57.0,0.25,2.0,-2.7
143,2022-01-11 10:00:00,48.0,0.87,0.0,1.5
144,2022-01-11 11:00:00,43.0,1.47,2.0,4.8
145,2022-01-11 12:00:00,41.0,1.85,3.0,7.8
146,2022-01-11 13:00:00,41.0,1.72,5.0,5.3
147,2022-01-11 14:00:00,42.0,1.14,5.0,7.3
148,2022-01-11 15:00:00,43.0,1.24,4.0,5.5
149,2022-01-11 16:00:00,43.0,0.98,2.0,1.1
150,2022-01-11 17:00:00,49.0,0.54,3.0,-1.1
151,2022-01-11 18:00:00,53.0,0.06,0.0,-3.2
152,2022-01-11 19:00:00,56.0,0.0,0.0,-4.2
153,2022-01-11 20:00:00,59.0,0.0,0.0,-5.1
154,2022-01-12 07:00:00,66.0,0.0,6.0,-6.8
155,2022-01-12 08:00:00,68.0,0.01,3.0,-8.0
156,2022-01-12 09:00:00,60.0,0.31,0.0,-4.8
157,2022-01-12 10:00:00,59.0,0.92,0.0,2.2
158,2022-01-12 11:00:00,54.0,1.46,0.0,5.5
159,2022-01-12 12:00:00,52.0,1.84,2.0,10.2
160,2022-01-12 13:00:00,51.0,1.72,2.0,10.5
161,2022-01-12 14:00:00,54.0,1.63,6.0,8.2
162,2022-01-12 15:00:00,49.0,1.21,6.0,8.8
163,2022-01-12 16:00:00,50.0,1.08,5.0,2.3
164,2022-01-12 17:00:00,53.0,0.54,3.0,-0.9
165,2022-01-12 18:00:00,54.0,0.06,0.0,-2.6
166,2022-01-12 19:00:00,56.0,0.0,3.0,-3.3
167,2022-01-12 20:00:00,56.0,0.0,4.0,-4.0
168,2022-01-13 07:00:00,65.0,0.0,9.0,-3.8
169,2022-01-13 08:00:00,80.0,0.0,9.0,-3.4
170,2022-01-13 09:00:00,83.0,0.15,10.0,-1.1
171,2022-01-13 10:00:00,75.0,0.58,2.0,1.1
