,datetime,Target
0,2022-01-01 07:00:00,0.0
1,2022-01-01 08:00:00,0.16
2,2022-01-01 09:00:00,41.48
3,2022-01-01 10:00:00,172.26
4,2022-01-01 11:00:00,218.45
5,2022-01-01 12:00:00,275.0
6,2022-01-01 13:00:00,322.01
7,2022-01-01 14:00:00,308.7
8,2022-01-01 15:00:00,214.71
9,2022-01-01 16:00:00,124.87
10,2022-01-01 17:00:00,47.76
11,2022-01-01 18:00:00,28.3
12,2022-01-01 19:00:00,47.36
13,2022-01-01 20:00:00,63.65
14,2022-01-02 07:00:00,0.0
15,2022-01-02 08:00:00,0.03
16,2022-01-02 09:00:00,26.37
17,2022-01-02 10:00:00,82.83
18,2022-01-02 11:00:00,78.22
19,2022-01-02 12:00:00,111.67
20,2022-01-02 13:00:00,146.1
21,2022-01-02 14:00:00,214.88
22,2022-01-02 15:00:00,234.54
23,2022-01-02 16:00:00,168.84
24,2022-01-02 17:00:00,72.38
25,2022-01-02 18:00:00,30.49
26,2022-01-02 19:00:00,45.99
27,2022-01-02 20:00:00,47.34
28,2022-01-03 07:00:00,0.0
29,2022-01-03 08:00:00,0.2
30,2022-01-03 09:00:00,42.75
31,2022-01-03 10:00:00,166.83
32,2022-01-03 11:00:00,207.53
33,2022-01-03 12:00:00,281.45
34,2022-01-03 13:00:00,310.79
35,2022-01-03 14:00:00,313.4
36,2022-01-03 15:00:00,283.53
37,2022-01-03 16:00:00,189.69
38,2022-01-03 17:00:00,69.99
39,2022-01-03 18:00:00,30.34
40,2022-01-03 19:00:00,51.04
41,2022-01-03 20:00:00,66.26
42,2022-01-04 07:00:00,0.0
43,2022-01-04 08:00:00,0.13
44,2022-01-04 09:00:00,35.93
45,2022-01-04 10:00:00,168.88
46,2022-01-04 11:00:00,268.96
47,2022-01-04 12:00:00,327.43
48,2022-01-04 13:00:00,354.03
49,2022-01-04 14:00:00,355.37
50,2022-01-04 15:00:00,328.86
51,2022-01-04 16:00:00,228.23
52,2022-01-04 17:00:00,65.63
53,2022-01-04 18:00:00,33.19
54,2022-01-04 19:00:00,51.16
55,2022-01-04 20:00:00,65.92
56,2022-01-05 07:00:00,0.0
57,2022-01-05 08:00:00,0.02
58,2022-01-05 09:00:00,10.28
59,2022-01-05 10:00:00,43.13
60,2022-01-05 11:00:00,70.18
61,2022-01-05 12:00:00,89.59
62,2022-01-05 13:00:00,142.07
63,2022-01-05 14:00:00,141.19
64,2022-01-05 15:00:00,80.29
65,2022-01-05 16:00:00,44.08
66,2022-01-05 17:00:00,13.35
67,2022-01-05 18:00:00,31.44
68,2022-01-05 19:00:00,42.07
69,2022-01-05 20:00:00,37.72
70,2022-01-06 07:00:00,0.0
71,2022-01-06 08:00:00,0.16
72,2022-01-06 09:00:00,41.94
73,2022-01-06 10:00:00,181.34
74,2022-01-06 11:00:00,272.64
75,2022-01-06 12:00:00,328.6
76,2022-01-06 13:00:00,355.65
77,2022-01-06 14:00:00,358.77
78,2022-01-06 15:00:00,328.79
79,2022-01-06 16:00:00,231.15
80,2022-01-06 17:00:00,86.03
81,2022-01-06 18:00:00,30.29
82,2022-01-06 19:00:00,45.94
83,2022-01-06 20:00:00,65.89
84,2022-01-07 07:00:00,0.0
85,2022-01-07 08:00:00,0.15
86,2022-01-07 09:00:00,40.82
87,2022-01-07 10:00:00,181.53
88,2022-01-07 11:00:00,271.85
89,2022-01-07 12:00:00,326.33
90,2022-01-07 13:00:00,358.46
91,2022-01-07 14:00:00,351.67
92,2022-01-07 15:00:00,328.37
93,2022-01-07 16:00:00,240.38
94,2022-01-07 17:00:00,90.31
95,2022-01-07 18:00:00,35.48
96,2022-01-07 19:00:00,48.28
97,2022-01-07 20:00:00,64.75
98,2022-01-08 07:00:00,0.0
99,2022-01-08 08:00:00,0.18
100,2022-01-08 09:00:00,39.14
101,2022-01-08 10:00:00,171.83
102,2022-01-08 11:00:00,254.97
103,2022-01-08 12:00:00,305.13
104,2022-01-08 13:00:00,271.16
105,2022-01-08 14:00:00,212.91
106,2022-01-08 15:00:00,228.32
107,2022-01-08 16:00:00,188.77
108,2022-01-08 17:00:00,59.35
109,2022-01-08 18:00:00,29.91
110,2022-01-08 19:00:00,44.86
111,2022-01-08 20:00:00,62.37
112,2022-01-09 07:00:00,0.0
113,2022-01-09 08:00:00,0.04
114,2022-01-09 09:00:00,21.5
115,2022-01-09 10:00:00,75.83
116,2022-01-09 11:00:00,116.61
117,2022-01-09 12:00:00,184.08
118,2022-01-09 13:00:00,155.21
119,2022-01-09 14:00:00,140.1
120,2022-01-09 15:00:00,146.4
121,2022-01-09 16:00:00,135.44
122,2022-01-09 17:00:00,69.14
123,2022-01-09 18:00:00,31.06
124,2022-01-09 19:00:00,40.9
125,2022-01-09 20:00:00,44.19
126,2022-01-10 07:00:00,0.0
127,2022-01-10 08:00:00,0.19
128,2022-01-10 09:00:00,29.62
129,2022-01-10 10:00:00,128.21
130,2022-01-10 11:00:00,212.97
131,2022-01-10 12:00:00,274.69
132,2022-01-10 13:00:00,319.83
133,2022-01-10 14:00:00,277.24
134,2022-01-10 15:00:00,251.35
135,2022-01-10 16:00:00,158.33
136,2022-01-10 17:00:00,56.61
137,2022-01-10 18:00:00,34.86
138,2022-01-10 19:00:00,50.62
139,2022-01-10 20:00:00,64.55
140,2022-01-11 07:00:00,0.0
141,2022-01-11 08:00:00,0.03
142,2022-01-11 09:00:00,18.17
143,2022-01-11 10:00:00,88.91
144,2022-01-11 11:00:00,139.96
145,2022-01-11 12:00:00,262.3
146,2022-01-11 13:00:00,237.41
147,2022-01-11 14:00:00,222.98
148,2022-01-11 15:00:00,170.33
149,2022-01-11 16:00:00,138.82
150,2022-01-11 17:00:00,48.12
151,2022-01-11 18:00:00,32.85
152,2022-01-11 19:00:00,46.53
153,2022-01-11 20:00:00,55.63
154,2022-01-12 07:00:00,0.03
155,2022-01-12 08:00:00,0.12
156,2022-01-12 09:00:00,22.36
157,2022-01-12 10:00:00,127.76
158,2022-01-12 11:00:00,201.78
159,2022-01-12 12:00:00,246.77
160,2022-01-12 13:00:00,207.24
161,2022-01-12 14:00:00,186.98
162,2022-01-12 15:00:00,236.03
163,2022-01-12 16:00:00,175.28
164,2022-01-12 17:00:00,77.27
165,2022-01-12 18:00:00,36.09
166,2022-01-12 19:00:00,49.49
167,2022-01-12 20:00:00,60.94
168,2022-01-13 07:00:00,0.01
169,2022-01-13 08:00:00,0.01
170,2022-01-13 09:00:00,7.39
171,2022-01-13 10:00:00,72.58
172,2022-01-13 11:00:00,125.14
173,2022-01-13 12:00:00,150.52
174,2022-01-13 13:00:00,195.5
175,2022-01-13 14:00:00,218.38
176,2022-01-13 15:00:00,156.51
177,2022-01-13 16:00:00,138.78
178,2022-01-13 17:00:00,48.75
179,2022-01-13 18:00:00,33.33
180,2022-01-13 19:00:00,46.75
181,2022-01-13 20:00:00,56.01
182,2022-01-14 07:00:00,0.02
183,2022-01-14 08:00:00,0.21
184,2022-01-14 09:00:00,43.96
185,2022-01-14 10:00:00,188.27
186,2022-01-14 11:00:00,278.57
187,2022-01-14 12:00:00,341.67
188,2022-01-14 13:00:00,375.76
189,2022-01-14 14:00:00,385.81
190,2022-01-14 15:00:00,365.35
191,2022-01-14 16:00:00,256.3
192,2022-01-14 17:00:00,97.19
193,2022-01-14 18:00:00,40.34
194,2022-01-14 19:00:00,50.74
195,2022-01-14 20:00:00,68.5
196,2022-01-15 07:00:00,0.03
197,2022-01-15 08:00:00,0.36
198,2022-01-15 09:00:00,32.33
199,2022-01-15 10:00:00,118.32
200,2022-01-15 11:00:00,232.16
201,2022-01-15 12:00:00,252.73
202,2022-01-15 13:00:00,250.2
203,2022-01-15 14:00:00,195.31
204,2022-01-15 15:00:00,110.71
205,2022-01-15 16:00:00,66.39
206,2022-01-15 17:00:00,21.99
207,2022-01-15 18:00:00,32.45
208,2022-01-15 19:00:00,50.11
209,2022-01-15 20:00:00,64.18
210,2022-01-16 07:00:00,0.0
211,2022-01-16 08:00:00,0.04
212,2022-01-16 09:00:00,20.15
213,2022-01-16 10:00:00,109.92
214,2022-01-16 11:00:00,181.42
215,2022-01-16 12:00:00,201.49
216,2022-01-16 13:00:00,177.69
217,2022-01-16 14:00:00,174.63
218,2022-01-16 15:00:00,162.38
219,2022-01-16 16:00:00,110.65
220,2022-01-16 17:00:00,64.35
221,2022-01-16 18:00:00,36.69
222,2022-01-16 19:00:00,48.86
223,2022-01-16 20:00:00,56.34
224,2022-01-17 07:00:00,0.06
225,2022-01-17 08:00:00,0.19
226,2022-01-17 09:00:00,18.93
227,2022-01-17 10:00:00,111.05
228,2022-01-17 11:00:00,208.19
229,2022-01-17 12:00:00,245.91
230,2022-01-17 13:00:00,186.16
231,2022-01-17 14:00:00,180.06
232,2022-01-17 15:00:00,154.19
233,2022-01-17 16:00:00,125.08
234,2022-01-17 17:00:00,34.28
235,2022-01-17 18:00:00,33.07
236,2022-01-17 19:00:00,46.69
237,2022-01-17 20:00:00,53.68
238,2022-01-18 07:00:00,0.0
239,2022-01-18 08:00:00,0.25
240,2022-01-18 09:00:00,47.0
241,2022-01-18 10:00:00,198.89
242,2022-01-18 11:00:00,292.74
243,2022-01-18 12:00:00,357.87
244,2022-01-18 13:00:00,386.36
245,2022-01-18 14:00:00,392.16
246,2022-01-18 15:00:00,377.59
247,2022-01-18 16:00:00,288.09
248,2022-01-18 17:00:00,125.1
249,2022-01-18 18:00:00,43.31
